"data","preco_real","preco_dolar","qtd_meses","taxa_juros","preco_vietna"
"06/2017","445.85","135.27","0","0.81","414.96"
"07/2017","451.90","141.28","1","0.80","411.84"
"08/2017","458.77","145.63","2","0.80","410.78"
"09/2017","453.46","144.61","3","0.64","400.51"
"10/2017","445.95","139.61","4","0.64","382.44"
"11/2017","452.88","138.96","5","0.57","365.36"
"12/2017","447.36","135.78","6","0.54","362.31"
"01/2018","446.42","139.10","7","0.58","331.57"
"02/2018","438.33","135.18","8","0.47","319.13"
"03/2018","429.82","131.18","9","0.53","305.56"
"04/2018","430.71","126.39","10","0.52","320.05"
"05/2018","451.02","124.03","11","0.52","330.79"
"06/2018","452.52","119.67","12","0.52","335.39"
"07/2018","439.25","114.79","13","0.54","332.39"
"08/2018","421.16","107.24","14","0.57","319.26"
"09/2018","415.39","101.15","15","0.47","319.38"
"10/2018","441.23","117.45","16","0.54","331.71"
"11/2018","441.59","116.63","17","0.49","331.95"
"12/2018","420.32","108.24","18","0.49","309.44"
"01/2019","410.87","109.95","19","0.54","304.22"
"02/2019","407.70","109.58","20","0.49","305.15"
"03/2019","395.61","102.95","21","0.47","302.89"
"04/2019","384.35","98.69","22","0.52","288.40"
"05/2019","389.04","97.38","23","0.54","279.44"
"06/2019","411.94","106.70","24","0.47","289.43"
"07/2019","423.67","112.09","25","0.57","283.47"
"08/2019","408.74","101.61","26","0.50","281.88"
"09/2019","430.63","104.43","27","0.46","288.82"
"10/2019","421.59","103.26","28","0.48","288.09"
"11/2019","475.11","114.22","29","0.38","305.53"
"12/2019","545.17","132.66","30","0.37","311.79"
"01/2020","493.03","118.90","31","0.38","303.43"
"02/2020","481.91","110.86","32","0.29","308.09"
"03/2020","556.28","113.73","33","0.34","320.77"
"04/2020","584.56","109.76","34","0.28","331.60"
"05/2020","574.16","101.82","35","0.24","354.70"
"06/2020","483.25","93.00","36","0.21","338.97"
"07/2020","505.97","95.90","37","0.19","353.66"
"08/2020","578.85","106.03","38","0.16","390.18"
"09/2020","564.62","104.66","39","0.16","395.38"
"10/2020","536.60","95.33","40","0.16","399.70"
"11/2020","565.47","104.38","41","0.15","409.99"
"12/2020","594.33","115.62","42","0.16","401.90"
"01/2021","639.71","119.40","43","0.15","416.71"
"02/2021","685.21","126.35","44","0.13","430.70"
"03/2021","731.86","129.75","45","0.20","450.81"
"04/2021","744.14","133.81","46","0.21","450.22"
"05/2021","822.24","155.39","47","0.27","463.24"
"06/2021","850.96","169.36","48","0.31","485.10"
"07/2021","914.54","177.15","49","0.36","544.50"
"08/2021","1033.92","196.96","50","0.43","637.87"
"09/2021","1087.61","205.48","51","0.44","765.84"
"10/2021","1222.20","220.78","52","0.49","798.65"
"11/2021","1347.73","242.40","53","0.59","802.62"
"12/2021","1452.15","256.67","54","0.77","830.77"
"01/2022","1482.59","268.44","55","0.73","828.16"
"02/2022","1485.35","286.16","56","0.76","820.07"
"03/2022","1284.41","258.71","57","0.93","766.58"
"04/2022","1251.33","263.40","58","0.83","813.62"
"05/2022","1261.08","255.04","59","1.03","751.70"
"06/2022","1333.00","263.90","60","1.02","696.95"
